"","recruitmentLevel_bin","p_bin","prop","nocc_bin","0-0.5","0.5-0.8","0.8-1"
"1","1-30","0-0.02",0.05,"2-3",1,0,0
"2","1-30","0-0.02",0.05,"3-4",1,0,0
"3","1-30","0-0.02",0.05,"4-5",1,0,0
"4","1-30","0-0.02",0.05,"5-10",1,0,0
"5","1-30","0-0.02",0.05,"10-20",1,0,0
"6","1-30","0-0.02",0.05,"20-30",1,0,0
"7","1-30","0-0.02",0.05,"30-40",1,0,0
"8","1-30","0-0.02",0.05,"40-50",1,0,0
"9","1-30","0-0.02",0.1,"2-3",1,0,0
"10","1-30","0-0.02",0.1,"3-4",1,0,0
"11","1-30","0-0.02",0.1,"4-5",1,0,0
"12","1-30","0-0.02",0.1,"5-10",1,0,0
"13","1-30","0-0.02",0.1,"10-20",1,0,0
"14","1-30","0-0.02",0.1,"20-30",1,0,0
"15","1-30","0-0.02",0.1,"30-40",1,0,0
"16","1-30","0-0.02",0.1,"40-50",1,0,0
"17","1-30","0-0.02",0.15,"2-3",1,0,0
"18","1-30","0-0.02",0.15,"3-4",1,0,0
"19","1-30","0-0.02",0.15,"4-5",1,0,0
"20","1-30","0-0.02",0.15,"5-10",1,0,0
"21","1-30","0-0.02",0.15,"10-20",1,0,0
"22","1-30","0-0.02",0.15,"20-30",1,0,0
"23","1-30","0-0.02",0.15,"30-40",1,0,0
"24","1-30","0-0.02",0.15,"40-50",1,0,0
"25","1-30","0-0.02",0.2,"2-3",1,0,0
"26","1-30","0-0.02",0.2,"3-4",1,0,0
"27","1-30","0-0.02",0.2,"4-5",1,0,0
"28","1-30","0-0.02",0.2,"5-10",1,0,0
"29","1-30","0-0.02",0.2,"10-20",1,0,0
"30","1-30","0-0.02",0.2,"20-30",1,0,0
"31","1-30","0-0.02",0.2,"30-40",1,0,0
"32","1-30","0-0.02",0.2,"40-50",1,0,0
"33","1-30","0-0.02",0.25,"2-3",1,0,0
"34","1-30","0-0.02",0.25,"3-4",1,0,0
"35","1-30","0-0.02",0.25,"4-5",1,0,0
"36","1-30","0-0.02",0.25,"5-10",1,0,0
"37","1-30","0-0.02",0.25,"10-20",1,0,0
"38","1-30","0-0.02",0.25,"20-30",1,0,0
"39","1-30","0-0.02",0.25,"30-40",1,0,0
"40","1-30","0-0.02",0.25,"40-50",1,0,0
"41","1-30","0.02-0.04",0.05,"2-3",1,0,0
"42","1-30","0.02-0.04",0.05,"3-4",1,0,0
"43","1-30","0.02-0.04",0.05,"4-5",1,0,0
"44","1-30","0.02-0.04",0.05,"5-10",1,0,0
"45","1-30","0.02-0.04",0.05,"10-20",1,0,0
"46","1-30","0.02-0.04",0.05,"20-30",1,0,0
"47","1-30","0.02-0.04",0.05,"30-40",1,0,0
"48","1-30","0.02-0.04",0.05,"40-50",1,0,0
"49","1-30","0.02-0.04",0.1,"2-3",1,0,0
"50","1-30","0.02-0.04",0.1,"3-4",1,0,0
"51","1-30","0.02-0.04",0.1,"4-5",1,0,0
"52","1-30","0.02-0.04",0.1,"5-10",1,0,0
"53","1-30","0.02-0.04",0.1,"10-20",1,0,0
"54","1-30","0.02-0.04",0.1,"20-30",1,0,0
"55","1-30","0.02-0.04",0.1,"30-40",1,0,0
"56","1-30","0.02-0.04",0.1,"40-50",1,0,0
"57","1-30","0.02-0.04",0.15,"2-3",1,0,0
"58","1-30","0.02-0.04",0.15,"3-4",1,0,0
"59","1-30","0.02-0.04",0.15,"4-5",1,0,0
"60","1-30","0.02-0.04",0.15,"5-10",1,0,0
"61","1-30","0.02-0.04",0.15,"10-20",1,0,0
"62","1-30","0.02-0.04",0.15,"20-30",1,0,0
"63","1-30","0.02-0.04",0.15,"30-40",1,0,0
"64","1-30","0.02-0.04",0.15,"40-50",1,0,0
"65","1-30","0.02-0.04",0.2,"2-3",1,0,0
"66","1-30","0.02-0.04",0.2,"3-4",1,0,0
"67","1-30","0.02-0.04",0.2,"4-5",1,0,0
"68","1-30","0.02-0.04",0.2,"5-10",1,0,0
"69","1-30","0.02-0.04",0.2,"10-20",1,0,0
"70","1-30","0.02-0.04",0.2,"20-30",1,0,0
"71","1-30","0.02-0.04",0.2,"30-40",1,0,0
"72","1-30","0.02-0.04",0.2,"40-50",1,0,0
"73","1-30","0.02-0.04",0.25,"2-3",1,0,0
"74","1-30","0.02-0.04",0.25,"3-4",1,0,0
"75","1-30","0.02-0.04",0.25,"4-5",1,0,0
"76","1-30","0.02-0.04",0.25,"5-10",1,0,0
"77","1-30","0.02-0.04",0.25,"10-20",1,0,0
"78","1-30","0.02-0.04",0.25,"20-30",1,0,0
"79","1-30","0.02-0.04",0.25,"30-40",1,0,0
"80","1-30","0.02-0.04",0.25,"40-50",1,0,0
"81","1-30","0.04-0.06",0.05,"2-3",1,0,0
"82","1-30","0.04-0.06",0.05,"3-4",1,0,0
"83","1-30","0.04-0.06",0.05,"4-5",1,0,0
"84","1-30","0.04-0.06",0.05,"5-10",1,0,0
"85","1-30","0.04-0.06",0.05,"10-20",1,0,0
"86","1-30","0.04-0.06",0.05,"20-30",1,0,0
"87","1-30","0.04-0.06",0.05,"30-40",1,0,0
"88","1-30","0.04-0.06",0.05,"40-50",1,0,0
"89","1-30","0.04-0.06",0.1,"2-3",1,0,0
"90","1-30","0.04-0.06",0.1,"3-4",1,0,0
"91","1-30","0.04-0.06",0.1,"4-5",1,0,0
"92","1-30","0.04-0.06",0.1,"5-10",1,0,0
"93","1-30","0.04-0.06",0.1,"10-20",1,0,0
"94","1-30","0.04-0.06",0.1,"20-30",1,0,0
"95","1-30","0.04-0.06",0.1,"30-40",1,0,0
"96","1-30","0.04-0.06",0.1,"40-50",1,0,0
"97","1-30","0.04-0.06",0.15,"2-3",1,0,0
"98","1-30","0.04-0.06",0.15,"3-4",1,0,0
"99","1-30","0.04-0.06",0.15,"4-5",1,0,0
"100","1-30","0.04-0.06",0.15,"5-10",1,0,0
"101","1-30","0.04-0.06",0.15,"10-20",1,0,0
"102","1-30","0.04-0.06",0.15,"20-30",1,0,0
"103","1-30","0.04-0.06",0.15,"30-40",1,0,0
"104","1-30","0.04-0.06",0.15,"40-50",1,0,0
"105","1-30","0.04-0.06",0.2,"2-3",1,0,0
"106","1-30","0.04-0.06",0.2,"3-4",1,0,0
"107","1-30","0.04-0.06",0.2,"4-5",1,0,0
"108","1-30","0.04-0.06",0.2,"5-10",1,0,0
"109","1-30","0.04-0.06",0.2,"10-20",1,0,0
"110","1-30","0.04-0.06",0.2,"20-30",1,0,0
"111","1-30","0.04-0.06",0.2,"30-40",1,0,0
"112","1-30","0.04-0.06",0.2,"40-50",1,0,0
"113","1-30","0.04-0.06",0.25,"2-3",1,0,0
"114","1-30","0.04-0.06",0.25,"3-4",1,0,0
"115","1-30","0.04-0.06",0.25,"4-5",1,0,0
"116","1-30","0.04-0.06",0.25,"5-10",1,0,0
"117","1-30","0.04-0.06",0.25,"10-20",1,0,0
"118","1-30","0.04-0.06",0.25,"20-30",1,0,0
"119","1-30","0.04-0.06",0.25,"30-40",1,0,0
"120","1-30","0.04-0.06",0.25,"40-50",1,0,0
"121","1-30","0.06-0.08",0.05,"2-3",1,0,0
"122","1-30","0.06-0.08",0.05,"3-4",1,0,0
"123","1-30","0.06-0.08",0.05,"4-5",1,0,0
"124","1-30","0.06-0.08",0.05,"5-10",1,0,0
"125","1-30","0.06-0.08",0.05,"10-20",1,0,0
"126","1-30","0.06-0.08",0.05,"20-30",1,0,0
"127","1-30","0.06-0.08",0.05,"30-40",1,0,0
"128","1-30","0.06-0.08",0.05,"40-50",1,0,0
"129","1-30","0.06-0.08",0.1,"2-3",1,0,0
"130","1-30","0.06-0.08",0.1,"3-4",1,0,0
"131","1-30","0.06-0.08",0.1,"4-5",1,0,0
"132","1-30","0.06-0.08",0.1,"5-10",1,0,0
"133","1-30","0.06-0.08",0.1,"10-20",1,0,0
"134","1-30","0.06-0.08",0.1,"20-30",1,0,0
"135","1-30","0.06-0.08",0.1,"30-40",1,0,0
"136","1-30","0.06-0.08",0.1,"40-50",1,0,0
"137","1-30","0.06-0.08",0.15,"2-3",1,0,0
"138","1-30","0.06-0.08",0.15,"3-4",1,0,0
"139","1-30","0.06-0.08",0.15,"4-5",1,0,0
"140","1-30","0.06-0.08",0.15,"5-10",1,0,0
"141","1-30","0.06-0.08",0.15,"10-20",1,0,0
"142","1-30","0.06-0.08",0.15,"20-30",1,0,0
"143","1-30","0.06-0.08",0.15,"30-40",1,0,0
"144","1-30","0.06-0.08",0.15,"40-50",1,0,0
"145","1-30","0.06-0.08",0.2,"2-3",1,0,0
"146","1-30","0.06-0.08",0.2,"3-4",1,0,0
"147","1-30","0.06-0.08",0.2,"4-5",1,0,0
"148","1-30","0.06-0.08",0.2,"5-10",1,0,0
"149","1-30","0.06-0.08",0.2,"10-20",1,0,0
"150","1-30","0.06-0.08",0.2,"20-30",1,0,0
"151","1-30","0.06-0.08",0.2,"30-40",1,0,0
"152","1-30","0.06-0.08",0.2,"40-50",1,0,0
"153","1-30","0.06-0.08",0.25,"2-3",1,0,0
"154","1-30","0.06-0.08",0.25,"3-4",1,0,0
"155","1-30","0.06-0.08",0.25,"4-5",1,0,0
"156","1-30","0.06-0.08",0.25,"5-10",1,0,0
"157","1-30","0.06-0.08",0.25,"10-20",1,0,0
"158","1-30","0.06-0.08",0.25,"20-30",1,0,0
"159","1-30","0.06-0.08",0.25,"30-40",1,0,0
"160","1-30","0.06-0.08",0.25,"40-50",1,0,0
"161","1-30","0.08-0.1",0.05,"2-3",1,0,0
"162","1-30","0.08-0.1",0.05,"3-4",1,0,0
"163","1-30","0.08-0.1",0.05,"4-5",1,0,0
"164","1-30","0.08-0.1",0.05,"5-10",1,0,0
"165","1-30","0.08-0.1",0.05,"10-20",1,0,0
"166","1-30","0.08-0.1",0.05,"20-30",1,0,0
"167","1-30","0.08-0.1",0.05,"30-40",1,0,0
"168","1-30","0.08-0.1",0.05,"40-50",1,0,0
"169","1-30","0.08-0.1",0.1,"2-3",1,0,0
"170","1-30","0.08-0.1",0.1,"3-4",1,0,0
"171","1-30","0.08-0.1",0.1,"4-5",1,0,0
"172","1-30","0.08-0.1",0.1,"5-10",1,0,0
"173","1-30","0.08-0.1",0.1,"10-20",1,0,0
"174","1-30","0.08-0.1",0.1,"20-30",1,0,0
"175","1-30","0.08-0.1",0.1,"30-40",1,0,0
"176","1-30","0.08-0.1",0.1,"40-50",1,0,0
"177","1-30","0.08-0.1",0.15,"2-3",1,0,0
"178","1-30","0.08-0.1",0.15,"3-4",1,0,0
"179","1-30","0.08-0.1",0.15,"4-5",1,0,0
"180","1-30","0.08-0.1",0.15,"5-10",1,0,0
"181","1-30","0.08-0.1",0.15,"10-20",1,0,0
"182","1-30","0.08-0.1",0.15,"20-30",1,0,0
"183","1-30","0.08-0.1",0.15,"30-40",1,0,0
"184","1-30","0.08-0.1",0.15,"40-50",1,0,0
"185","1-30","0.08-0.1",0.2,"2-3",1,0,0
"186","1-30","0.08-0.1",0.2,"3-4",1,0,0
"187","1-30","0.08-0.1",0.2,"4-5",1,0,0
"188","1-30","0.08-0.1",0.2,"5-10",1,0,0
"189","1-30","0.08-0.1",0.2,"10-20",1,0,0
"190","1-30","0.08-0.1",0.2,"20-30",1,0,0
"191","1-30","0.08-0.1",0.2,"30-40",1,0,0
"192","1-30","0.08-0.1",0.2,"40-50",1,0,0
"193","1-30","0.08-0.1",0.25,"2-3",1,0,0
"194","1-30","0.08-0.1",0.25,"3-4",1,0,0
"195","1-30","0.08-0.1",0.25,"4-5",1,0,0
"196","1-30","0.08-0.1",0.25,"5-10",1,0,0
"197","1-30","0.08-0.1",0.25,"10-20",1,0,0
"198","1-30","0.08-0.1",0.25,"20-30",1,0,0
"199","1-30","0.08-0.1",0.25,"30-40",1,0,0
"200","1-30","0.08-0.1",0.25,"40-50",1,0,0
"201","30-60","0-0.02",0.05,"2-3",1,0,0
"202","30-60","0-0.02",0.05,"3-4",1,0,0
"203","30-60","0-0.02",0.05,"4-5",1,0,0
"204","30-60","0-0.02",0.05,"5-10",1,0,0
"205","30-60","0-0.02",0.05,"10-20",1,0,0
"206","30-60","0-0.02",0.05,"20-30",1,0,0
"207","30-60","0-0.02",0.05,"30-40",1,0,0
"208","30-60","0-0.02",0.05,"40-50",1,0,0
"209","30-60","0-0.02",0.1,"2-3",1,0,0
"210","30-60","0-0.02",0.1,"3-4",1,0,0
"211","30-60","0-0.02",0.1,"4-5",1,0,0
"212","30-60","0-0.02",0.1,"5-10",1,0,0
"213","30-60","0-0.02",0.1,"10-20",1,0,0
"214","30-60","0-0.02",0.1,"20-30",1,0,0
"215","30-60","0-0.02",0.1,"30-40",1,0,0
"216","30-60","0-0.02",0.1,"40-50",1,0,0
"217","30-60","0-0.02",0.15,"2-3",1,0,0
"218","30-60","0-0.02",0.15,"3-4",1,0,0
"219","30-60","0-0.02",0.15,"4-5",1,0,0
"220","30-60","0-0.02",0.15,"5-10",1,0,0
"221","30-60","0-0.02",0.15,"10-20",1,0,0
"222","30-60","0-0.02",0.15,"20-30",1,0,0
"223","30-60","0-0.02",0.15,"30-40",1,0,0
"224","30-60","0-0.02",0.15,"40-50",1,0,0
"225","30-60","0-0.02",0.2,"2-3",1,0,0
"226","30-60","0-0.02",0.2,"3-4",1,0,0
"227","30-60","0-0.02",0.2,"4-5",1,0,0
"228","30-60","0-0.02",0.2,"5-10",1,0,0
"229","30-60","0-0.02",0.2,"10-20",1,0,0
"230","30-60","0-0.02",0.2,"20-30",1,0,0
"231","30-60","0-0.02",0.2,"30-40",1,0,0
"232","30-60","0-0.02",0.2,"40-50",1,0,0
"233","30-60","0-0.02",0.25,"2-3",1,0,0
"234","30-60","0-0.02",0.25,"3-4",1,0,0
"235","30-60","0-0.02",0.25,"4-5",1,0,0
"236","30-60","0-0.02",0.25,"5-10",1,0,0
"237","30-60","0-0.02",0.25,"10-20",1,0,0
"238","30-60","0-0.02",0.25,"20-30",1,0,0
"239","30-60","0-0.02",0.25,"30-40",1,0,0
"240","30-60","0-0.02",0.25,"40-50",1,0,0
"241","30-60","0.02-0.04",0.05,"2-3",1,0,0
"242","30-60","0.02-0.04",0.05,"3-4",1,0,0
"243","30-60","0.02-0.04",0.05,"4-5",1,0,0
"244","30-60","0.02-0.04",0.05,"5-10",1,0,0
"245","30-60","0.02-0.04",0.05,"10-20",1,0,0
"246","30-60","0.02-0.04",0.05,"20-30",1,0,0
"247","30-60","0.02-0.04",0.05,"30-40",1,0,0
"248","30-60","0.02-0.04",0.05,"40-50",1,0,0
"249","30-60","0.02-0.04",0.1,"2-3",1,0,0
"250","30-60","0.02-0.04",0.1,"3-4",1,0,0
"251","30-60","0.02-0.04",0.1,"4-5",1,0,0
"252","30-60","0.02-0.04",0.1,"5-10",1,0,0
"253","30-60","0.02-0.04",0.1,"10-20",1,0,0
"254","30-60","0.02-0.04",0.1,"20-30",1,0,0
"255","30-60","0.02-0.04",0.1,"30-40",1,0,0
"256","30-60","0.02-0.04",0.1,"40-50",1,0,0
"257","30-60","0.02-0.04",0.15,"2-3",1,0,0
"258","30-60","0.02-0.04",0.15,"3-4",1,0,0
"259","30-60","0.02-0.04",0.15,"4-5",1,0,0
"260","30-60","0.02-0.04",0.15,"5-10",1,0,0
"261","30-60","0.02-0.04",0.15,"10-20",1,0,0
"262","30-60","0.02-0.04",0.15,"20-30",1,0,0
"263","30-60","0.02-0.04",0.15,"30-40",1,0,0
"264","30-60","0.02-0.04",0.15,"40-50",1,0,0
"265","30-60","0.02-0.04",0.2,"2-3",1,0,0
"266","30-60","0.02-0.04",0.2,"3-4",1,0,0
"267","30-60","0.02-0.04",0.2,"4-5",1,0,0
"268","30-60","0.02-0.04",0.2,"5-10",1,0,0
"269","30-60","0.02-0.04",0.2,"10-20",1,0,0
"270","30-60","0.02-0.04",0.2,"20-30",1,0,0
"271","30-60","0.02-0.04",0.2,"30-40",1,0,0
"272","30-60","0.02-0.04",0.2,"40-50",1,0,0
"273","30-60","0.02-0.04",0.25,"2-3",1,0,0
"274","30-60","0.02-0.04",0.25,"3-4",1,0,0
"275","30-60","0.02-0.04",0.25,"4-5",1,0,0
"276","30-60","0.02-0.04",0.25,"5-10",1,0,0
"277","30-60","0.02-0.04",0.25,"10-20",1,0,0
"278","30-60","0.02-0.04",0.25,"20-30",1,0,0
"279","30-60","0.02-0.04",0.25,"30-40",1,0,0
"280","30-60","0.02-0.04",0.25,"40-50",1,0,0
"281","30-60","0.04-0.06",0.05,"2-3",1,0,0
"282","30-60","0.04-0.06",0.05,"3-4",1,0,0
"283","30-60","0.04-0.06",0.05,"4-5",1,0,0
"284","30-60","0.04-0.06",0.05,"5-10",1,0,0
"285","30-60","0.04-0.06",0.05,"10-20",1,0,0
"286","30-60","0.04-0.06",0.05,"20-30",1,0,0
"287","30-60","0.04-0.06",0.05,"30-40",1,0,0
"288","30-60","0.04-0.06",0.05,"40-50",1,0,0
"289","30-60","0.04-0.06",0.1,"2-3",1,0,0
"290","30-60","0.04-0.06",0.1,"3-4",1,0,0
"291","30-60","0.04-0.06",0.1,"4-5",1,0,0
"292","30-60","0.04-0.06",0.1,"5-10",1,0,0
"293","30-60","0.04-0.06",0.1,"10-20",1,0,0
"294","30-60","0.04-0.06",0.1,"20-30",1,0,0
"295","30-60","0.04-0.06",0.1,"30-40",1,0,0
"296","30-60","0.04-0.06",0.1,"40-50",1,0,0
"297","30-60","0.04-0.06",0.15,"2-3",1,0,0
"298","30-60","0.04-0.06",0.15,"3-4",1,0,0
"299","30-60","0.04-0.06",0.15,"4-5",1,0,0
"300","30-60","0.04-0.06",0.15,"5-10",1,0,0
"301","30-60","0.04-0.06",0.15,"10-20",1,0,0
"302","30-60","0.04-0.06",0.15,"20-30",1,0,0
"303","30-60","0.04-0.06",0.15,"30-40",1,0,0
"304","30-60","0.04-0.06",0.15,"40-50",1,0,0
"305","30-60","0.04-0.06",0.2,"2-3",1,0,0
"306","30-60","0.04-0.06",0.2,"3-4",1,0,0
"307","30-60","0.04-0.06",0.2,"4-5",1,0,0
"308","30-60","0.04-0.06",0.2,"5-10",1,0,0
"309","30-60","0.04-0.06",0.2,"10-20",1,0,0
"310","30-60","0.04-0.06",0.2,"20-30",1,0,0
"311","30-60","0.04-0.06",0.2,"30-40",1,0,0
"312","30-60","0.04-0.06",0.2,"40-50",1,0,0
"313","30-60","0.04-0.06",0.25,"2-3",1,0,0
"314","30-60","0.04-0.06",0.25,"3-4",1,0,0
"315","30-60","0.04-0.06",0.25,"4-5",1,0,0
"316","30-60","0.04-0.06",0.25,"5-10",1,0,0
"317","30-60","0.04-0.06",0.25,"10-20",1,0,0
"318","30-60","0.04-0.06",0.25,"20-30",1,0,0
"319","30-60","0.04-0.06",0.25,"30-40",1,0,0
"320","30-60","0.04-0.06",0.25,"40-50",1,0,0
"321","30-60","0.06-0.08",0.05,"2-3",1,0,0
"322","30-60","0.06-0.08",0.05,"3-4",1,0,0
"323","30-60","0.06-0.08",0.05,"4-5",1,0,0
"324","30-60","0.06-0.08",0.05,"5-10",1,0,0
"325","30-60","0.06-0.08",0.05,"10-20",1,0,0
"326","30-60","0.06-0.08",0.05,"20-30",1,0,0
"327","30-60","0.06-0.08",0.05,"30-40",1,0,0
"328","30-60","0.06-0.08",0.05,"40-50",1,0,0
"329","30-60","0.06-0.08",0.1,"2-3",1,0,0
"330","30-60","0.06-0.08",0.1,"3-4",1,0,0
"331","30-60","0.06-0.08",0.1,"4-5",1,0,0
"332","30-60","0.06-0.08",0.1,"5-10",1,0,0
"333","30-60","0.06-0.08",0.1,"10-20",1,0,0
"334","30-60","0.06-0.08",0.1,"20-30",1,0,0
"335","30-60","0.06-0.08",0.1,"30-40",1,0,0
"336","30-60","0.06-0.08",0.1,"40-50",1,0,0
"337","30-60","0.06-0.08",0.15,"2-3",1,0,0
"338","30-60","0.06-0.08",0.15,"3-4",1,0,0
"339","30-60","0.06-0.08",0.15,"4-5",1,0,0
"340","30-60","0.06-0.08",0.15,"5-10",1,0,0
"341","30-60","0.06-0.08",0.15,"10-20",1,0,0
"342","30-60","0.06-0.08",0.15,"20-30",1,0,0
"343","30-60","0.06-0.08",0.15,"30-40",1,0,0
"344","30-60","0.06-0.08",0.15,"40-50",1,0,0
"345","30-60","0.06-0.08",0.2,"2-3",1,0,0
"346","30-60","0.06-0.08",0.2,"3-4",1,0,0
"347","30-60","0.06-0.08",0.2,"4-5",1,0,0
"348","30-60","0.06-0.08",0.2,"5-10",1,0,0
"349","30-60","0.06-0.08",0.2,"10-20",1,0,0
"350","30-60","0.06-0.08",0.2,"20-30",1,0,0
"351","30-60","0.06-0.08",0.2,"30-40",1,0,0
"352","30-60","0.06-0.08",0.2,"40-50",1,0,0
"353","30-60","0.06-0.08",0.25,"2-3",1,0,0
"354","30-60","0.06-0.08",0.25,"3-4",1,0,0
"355","30-60","0.06-0.08",0.25,"4-5",1,0,0
"356","30-60","0.06-0.08",0.25,"5-10",1,0,0
"357","30-60","0.06-0.08",0.25,"10-20",1,0,0
"358","30-60","0.06-0.08",0.25,"20-30",1,0,0
"359","30-60","0.06-0.08",0.25,"30-40",1,0,0
"360","30-60","0.06-0.08",0.25,"40-50",1,0,0
"361","30-60","0.08-0.1",0.05,"2-3",1,0,0
"362","30-60","0.08-0.1",0.05,"3-4",1,0,0
"363","30-60","0.08-0.1",0.05,"4-5",1,0,0
"364","30-60","0.08-0.1",0.05,"5-10",1,0,0
"365","30-60","0.08-0.1",0.05,"10-20",1,0,0
"366","30-60","0.08-0.1",0.05,"20-30",1,0,0
"367","30-60","0.08-0.1",0.05,"30-40",1,0,0
"368","30-60","0.08-0.1",0.05,"40-50",1,0,0
"369","30-60","0.08-0.1",0.1,"2-3",1,0,0
"370","30-60","0.08-0.1",0.1,"3-4",1,0,0
"371","30-60","0.08-0.1",0.1,"4-5",1,0,0
"372","30-60","0.08-0.1",0.1,"5-10",1,0,0
"373","30-60","0.08-0.1",0.1,"10-20",1,0,0
"374","30-60","0.08-0.1",0.1,"20-30",1,0,0
"375","30-60","0.08-0.1",0.1,"30-40",1,0,0
"376","30-60","0.08-0.1",0.1,"40-50",1,0,0
"377","30-60","0.08-0.1",0.15,"2-3",1,0,0
"378","30-60","0.08-0.1",0.15,"3-4",1,0,0
"379","30-60","0.08-0.1",0.15,"4-5",1,0,0
"380","30-60","0.08-0.1",0.15,"5-10",1,0,0
"381","30-60","0.08-0.1",0.15,"10-20",1,0,0
"382","30-60","0.08-0.1",0.15,"20-30",1,0,0
"383","30-60","0.08-0.1",0.15,"30-40",1,0,0
"384","30-60","0.08-0.1",0.15,"40-50",1,0,0
"385","30-60","0.08-0.1",0.2,"2-3",1,0,0
"386","30-60","0.08-0.1",0.2,"3-4",1,0,0
"387","30-60","0.08-0.1",0.2,"4-5",1,0,0
"388","30-60","0.08-0.1",0.2,"5-10",1,0,0
"389","30-60","0.08-0.1",0.2,"10-20",1,0,0
"390","30-60","0.08-0.1",0.2,"20-30",1,0,0
"391","30-60","0.08-0.1",0.2,"30-40",1,0,0
"392","30-60","0.08-0.1",0.2,"40-50",1,0,0
"393","30-60","0.08-0.1",0.25,"2-3",1,0,0
"394","30-60","0.08-0.1",0.25,"3-4",1,0,0
"395","30-60","0.08-0.1",0.25,"4-5",1,0,0
"396","30-60","0.08-0.1",0.25,"5-10",1,0,0
"397","30-60","0.08-0.1",0.25,"10-20",1,0,0
"398","30-60","0.08-0.1",0.25,"20-30",1,0,0
"399","30-60","0.08-0.1",0.25,"30-40",1,0,0
"400","30-60","0.08-0.1",0.25,"40-50",1,0,0
"401","60-100","0-0.02",0.05,"2-3",1,0,0
"402","60-100","0-0.02",0.05,"3-4",1,0,0
"403","60-100","0-0.02",0.05,"4-5",1,0,0
"404","60-100","0-0.02",0.05,"5-10",1,0,0
"405","60-100","0-0.02",0.05,"10-20",1,0,0
"406","60-100","0-0.02",0.05,"20-30",1,0,0
"407","60-100","0-0.02",0.05,"30-40",1,0,0
"408","60-100","0-0.02",0.05,"40-50",1,0,0
"409","60-100","0-0.02",0.1,"2-3",1,0,0
"410","60-100","0-0.02",0.1,"3-4",1,0,0
"411","60-100","0-0.02",0.1,"4-5",1,0,0
"412","60-100","0-0.02",0.1,"5-10",1,0,0
"413","60-100","0-0.02",0.1,"10-20",1,0,0
"414","60-100","0-0.02",0.1,"20-30",1,0,0
"415","60-100","0-0.02",0.1,"30-40",1,0,0
"416","60-100","0-0.02",0.1,"40-50",1,0,0
"417","60-100","0-0.02",0.15,"2-3",1,0,0
"418","60-100","0-0.02",0.15,"3-4",1,0,0
"419","60-100","0-0.02",0.15,"4-5",1,0,0
"420","60-100","0-0.02",0.15,"5-10",1,0,0
"421","60-100","0-0.02",0.15,"10-20",1,0,0
"422","60-100","0-0.02",0.15,"20-30",1,0,0
"423","60-100","0-0.02",0.15,"30-40",1,0,0
"424","60-100","0-0.02",0.15,"40-50",1,0,0
"425","60-100","0-0.02",0.2,"2-3",1,0,0
"426","60-100","0-0.02",0.2,"3-4",1,0,0
"427","60-100","0-0.02",0.2,"4-5",1,0,0
"428","60-100","0-0.02",0.2,"5-10",1,0,0
"429","60-100","0-0.02",0.2,"10-20",1,0,0
"430","60-100","0-0.02",0.2,"20-30",1,0,0
"431","60-100","0-0.02",0.2,"30-40",1,0,0
"432","60-100","0-0.02",0.2,"40-50",1,0,0
"433","60-100","0-0.02",0.25,"2-3",1,0,0
"434","60-100","0-0.02",0.25,"3-4",1,0,0
"435","60-100","0-0.02",0.25,"4-5",1,0,0
"436","60-100","0-0.02",0.25,"5-10",1,0,0
"437","60-100","0-0.02",0.25,"10-20",1,0,0
"438","60-100","0-0.02",0.25,"20-30",1,0,0
"439","60-100","0-0.02",0.25,"30-40",1,0,0
"440","60-100","0-0.02",0.25,"40-50",1,0,0
"441","60-100","0.02-0.04",0.05,"2-3",1,0,0
"442","60-100","0.02-0.04",0.05,"3-4",1,0,0
"443","60-100","0.02-0.04",0.05,"4-5",1,0,0
"444","60-100","0.02-0.04",0.05,"5-10",1,0,0
"445","60-100","0.02-0.04",0.05,"10-20",1,0,0
"446","60-100","0.02-0.04",0.05,"20-30",1,0,0
"447","60-100","0.02-0.04",0.05,"30-40",1,0,0
